,trip_id,train_name,date,cargo,station_id,event,cargo_type,fuel_level
0,1CBFNO6B9M,UDAXI,2024-06-01 10:09:49,29.0,station_A,Final carga,Machinery,1000.0
1,1CBFNO6B9M,UDAXI,2024-06-01 10:09:49,29.0,station_A,Salida de vagones,Machinery,1000.0
2,1CBFNO6B9M,UDAXI,2024-06-01 12:04:00,29.0,station_B,Llegada de vagones,Machinery,922.6
3,1CBFNO6B9M,UDAXI,2024-06-01 12:05:36,22.0,station_B,Salida de vagones,Machinery,922.6
4,1CBFNO6B9M,UDAXI,2024-06-01 12:05:36,22.0,station_B,Descarga de vagones,Machinery,922.6
5,1CBFNO6B9M,UDAXI,2024-06-01 13:15:17,22.0,station_C,Llegada de vagones,Machinery,878.6800000000001
6,1CBFNO6B9M,UDAXI,2024-06-01 13:18:37,8.0,station_C,Descarga de vagones,Machinery,878.6800000000001
7,1CBFNO6B9M,UDAXI,2024-06-01 13:18:37,8.0,station_C,Salida de vagones,Machinery,878.6800000000001
8,1CBFNO6B9M,UDAXI,2024-06-01 16:31:25,8.0,station_D,Llegada de vagones,Machinery,781.48
9,1CBFNO6B9M,UDAXI,2024-06-01 16:32:24,4.0,station_D,Descarga de vagones,Machinery,781.48
10,1CBFNO6B9M,UDAXI,2024-06-01 16:32:24,4.0,station_D,Salida de vagones,Machinery,781.48
11,1CBFNO6B9M,UDAXI,2024-06-01 18:56:20,4.0,station_E,Llegada de vagones,Machinery,719.08
12,1CBFNO6B9M,UDAXI,2024-06-01 18:56:20,4.0,station_E,Descarga de vagones,Machinery,719.08
13,1CBFNO6B9M,UDAXI,2024-06-01 18:56:20,4.0,station_E,Salida de vagones,Machinery,719.08
14,1CBFNO6B9M,UDAXI,2024-06-01 21:20:16,4.0,station_F,Llegada de vagones,Machinery,644.2
15,1CBFNO6B9M,UDAXI,2024-06-01 21:20:31,3.0,station_F,Descarga de vagones,Machinery,644.2
16,1CBFNO6B9M,UDAXI,2024-06-01 21:20:31,3.0,station_F,Salida de vagones,Machinery,644.2
17,1CBFNO6B9M,UDAXI,2024-06-02 03:04:04,3.0,station_G,Llegada de vagones,Machinery,489.7000000000001
18,1CBFNO6B9M,UDAXI,2024-06-02 03:04:46,0.0,station_G,Final de ruta,Machinery,489.7000000000001
19,1CBFNO6B9M,UDAXI,2024-06-02 03:04:46,0.0,station_G,Descarga de vagones,Machinery,489.7000000000001
20,VRJNVGFYGW,HHEXD,2024-06-03 10:12:29,41.0,station_A,Salida de vagones,Chemicals,800.0
21,VRJNVGFYGW,HHEXD,2024-06-03 10:12:29,41.0,station_A,Final carga,Chemicals,800.0
22,VRJNVGFYGW,HHEXD,2024-06-03 11:14:22,41.0,station_B,Llegada de vagones,Chemicals,715.4
23,VRJNVGFYGW,HHEXD,2024-06-03 11:17:11,25.0,station_B,Salida de vagones,Chemicals,715.4
24,VRJNVGFYGW,HHEXD,2024-06-03 11:17:11,25.0,station_B,Descarga de vagones,Chemicals,715.4
25,VRJNVGFYGW,HHEXD,2024-06-03 11:58:17,25.0,station_C,Llegada de vagones,Chemicals,670.4
26,VRJNVGFYGW,HHEXD,2024-06-03 12:04:09,0.0,station_C,Descarga de vagones,Chemicals,670.4
